"gap","capability","disposition","issue","title","scope_reason","code_evidence"
"combat_predicate","combat_predicate","new_engine","174","Engine: composable blocker restrictions and conditional evasion","Use existing engine-authored legal_block_pairs and normal characteristic data. No protobuf enum, dispatcher, Qt rendering or interaction change is part of this issue.","tricerules/tricerules-cards/src/primitives/keywords.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-core/src/engine/combat.rs;tricerules/tricerules-core/src/engine/legal_actions.rs"
"conditional_casting","conditional_casting","deferred","","conditional casting","Condition-dependent flash from a nonbattlefield zone needs cast-action publication review.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/targeting.rs"
"copy_modification","copy_modification","deferred","","copy modification","Copiable-value exceptions are explicitly outside existing #46 and require identity/display review.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/targeting.rs"
"cost_choice","cost_choice","deferred","","cost choice","New alternative mandatory life/discard or life activation payment needs cost-contract review.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/targeting.rs"
"counter_cohort","counter_cohort","deferred","","counter cohort","Untargeted counter placement over a derived cohort needs a focused effect design.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/targeting.rs"
"counter_distribution","counter_distribution","deferred","","counter distribution","Player-assigned counter distribution needs selection/payment UI review.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/targeting.rs"
"counter_rule","counter_rule","deferred","","counter rule","Uncounterability and counter-to-exile need separate stack/destination semantics.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/targeting.rs"
"craft","craft","deferred","","craft","Craft combines multi-zone costs, exile and transformed return; requires physical identity and UI.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/targeting.rs"
"crew","crew","deferred","","crew","Crew changes activation, contributor choices and derived creature characteristics.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/targeting.rs"
"crime","crime","new_engine","171","Engine: committed Crime events and turn predicates","Observe existing logged targeting actions and emit ordinary effects; no Crime picker, designation display or protobuf field. Existing target candidates remain engine-authored.","tricerules/tricerules-core/src/engine/casting.rs;tricerules/tricerules-core/src/engine/triggers.rs;tricerules/tricerules-core/src/engine/targeting.rs;tricerules/tricerules-core/src/engine/history.rs"
"damage_cohort","damage_cohort","deferred","","damage cohort","Per-source mass damage needs explicit simultaneous damage/LKI semantics.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/targeting.rs"
"damage_observer","damage_observer","deferred","","damage observer","General damage recipients/thresholds/grouping need a separate trigger design.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/targeting.rs"
"discard_observer","discard_observer","deferred","","discard observer","Batched typed discard observation needs semantic action/receipt design beyond turn limits.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/targeting.rs"
"discover","discover","deferred","","discover","Discover interrupts resolution for exile/cast-or-hand choices and physical movement.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/targeting.rs"
"disguise","disguise","deferred","","disguise","Face-down casting and turn-up actions require privacy, identity and client behavior.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/targeting.rs"
"dynamic_characteristics","dynamic_characteristics","deferred","","dynamic characteristics","Linked/copiable variable characteristics need a separate characteristic/publication design.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/targeting.rs"
"dynamic_counters","dynamic_counters","deferred","","dynamic counters","Variable counter amount consumers are distinct from current fixed-count placement.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/targeting.rs"
"dynamic_token","dynamic_token","deferred","","dynamic token","Variable token copiable P/T requires token identity/display validation.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/targeting.rs"
"entry_history_filter","zone_observer","new_engine","168","Engine: filtered and batched permanent event observers","Observe already-supported movements without altering their physical binding or order. New fields are internal; outcomes use existing tokens, counters, damage and trigger messages.","tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-core/src/engine/triggers.rs;tricerules/tricerules-core/src/engine/mod.rs"
"entry_replacement","entry_replacement","deferred","","entry replacement","Enter-untapped replacement ordering and optional replacement choices need a separate plan.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/targeting.rs"
"evidence_payment","evidence_payment","deferred","","evidence payment","Total-MV graveyard payment selection requires a payment and private/public identity audit.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/targeting.rs"
"expend","expend","new_engine","172","Engine: Expend thresholds from actual mana spent casting spells","No new payment options or mana UI. Read existing committed transaction results; emit ordinary counter, keyword and damage effects.","tricerules/tricerules-core/src/engine/casting.rs;tricerules/tricerules-core/src/engine/payment/transaction.rs;tricerules/tricerules-core/src/engine/history.rs;tricerules/tricerules-cards/src/primitives/abilities.rs"
"explore","explore","deferred","","explore","Explore/Map has reveal, selection and physical zone transitions.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/targeting.rs"
"finality","finality","deferred","","finality","Finality adds a visible counter and death-replacement semantics; outside this batch.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/targeting.rs"
"forage","forage","deferred","","forage","Alternative graveyard-exile/Food payment and completion event require payment-contract review.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/targeting.rs"
"gift","gift","deferred","","gift","Opponent gift promise, recipient and linked effects/targets need cast-choice publication.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/targeting.rs"
"graveyard_budget","graveyard_budget","deferred","","graveyard budget","Multi-card total-MV reanimation needs coordinated candidate budgeting and selection review.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/targeting.rs"
"graveyard_history","graveyard_history","new_engine","167","Engine: committed graveyard-entry and sacrifice turn facts","Only internal facts and predicates are new. Existing movement output remains identical; no new graveyard identities, reorderings, selection or public history payload.","tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-core/src/engine/history.rs;tricerules/tricerules-core/src/engine/resolution/mod.rs;tricerules/tricerules-core/src/engine/mod.rs"
"graveyard_trigger_source","graveyard_trigger_source","deferred","","graveyard trigger source","New nonbattlefield trigger sources and return identities need a separate end-to-end audit.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/targeting.rs"
"hand_filter","hand_filter","deferred","","hand filter","Disjunctive hidden-hand selection needs private candidate contract review.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/targeting.rs"
"hidden_face_visibility","hidden_face_visibility","deferred","","hidden face visibility","Viewing opponents' face-down objects changes private visibility contracts.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/targeting.rs"
"impulse_duration","impulse_duration","deferred","","impulse duration","Current-turn impulse duration is not exposed by the current effect; permission-expiry contract review deferred.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/targeting.rs"
"keyword_removal","keyword_removal","deferred","","keyword removal","Selective keyword removal needs layer/dependency and annotation review.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/targeting.rs"
"library_algorithm","library_algorithm","deferred","","library algorithm","New reveal/partition/quota/search-destination algorithm needs choice, privacy and zone-order review.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/targeting.rs"
"library_casting","library_casting","deferred","","library casting","Continuous private top visibility and library casting need new permissions and UI.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/targeting.rs"
"life_history","life_history","new_engine","170","Engine: life-gain and life-loss turn history","History is Rust-only and adds no client ledger. Existing LifeChanged and normal trigger/mana messages remain the only visible output.","tricerules/tricerules-core/src/engine/resolution/life.rs;tricerules/tricerules-core/src/engine/history.rs;tricerules/tricerules-core/src/engine/damage.rs;tricerules/tricerules-core/src/state.rs"
"life_prohibition","life_prohibition","new_engine","175","Engine: continuous prohibitions on gaining life","Existing life totals and LifeChanged events suffice. No prohibition widget or rules decision in Qt/Servatrice; all behavior is evaluated by tricerules.","tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-core/src/engine/resolution/life.rs;tricerules/tricerules-core/src/engine/characteristics.rs"
"linked_exile","linked_exile","deferred","","linked exile","Remembered exile cohorts/colors affect identity, permissions or characteristics.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/targeting.rs"
"mana_permission","mana_permission","deferred","","mana permission","As-though mana spending needs dedicated payment legality and presentation review.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/targeting.rs"
"mana_retention","mana_retention","deferred","","mana retention","End-of-turn retention is outside current step/combat vocabulary; annotation/expiry review deferred.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/targeting.rs"
"mass_filter","mass_filter","deferred","","mass filter","Disjunctive/nonmatching mass-effect scopes need a focused shared-filter design.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/targeting.rs"
"object_condition","object_condition","deferred","","object condition","Live source/attached/target predicates need a separate expression/continuation design.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/targeting.rs"
"offspring","offspring","deferred","","offspring","Offspring's payment-linked entry and 1/1 copy modification are not covered by #46's bounded token-copy substrate.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/targeting.rs"
"opponent_hand_branch","opponent_hand_branch","deferred","","opponent hand branch","Conditional untargeted opponent hand choice needs parked-resolution/privacy review.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/targeting.rs"
"opponent_payment","opponent_payment","deferred","","opponent payment","Affected-opponent alternative payments need chooser/APNAP and prompt review.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/targeting.rs"
"optional_cast_payment","optional_cast_payment","deferred","","optional cast payment","Bargain requires optional nonmana cost choices and receipt-conditioned casting/ETB behavior.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/targeting.rs"
"permanent_exile","permanent_exile","deferred","","permanent exile","Generalized one-shot artifact exile needs target-role and movement audit; do not substitute linked exile.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/targeting.rs"
"player_counters","player_counters","deferred","","player counters","Poison counters require player counter state, loss rules and client display.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/targeting.rs"
"plot","plot","deferred","","plot","Plot creates visible special actions, exile permissions and alternative casting.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/targeting.rs"
"powerstone_mana","powerstone_mana","deferred","","powerstone mana","Exact 'anything except nonartifact spells' spending includes resolution payments; current positive-purpose filters are insufficient.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/targeting.rs"
"protection_quality","protection_quality","deferred","","protection quality","Multicolored protection needs shared quality semantics and annotation review.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/targeting.rs"
"prototype","prototype","deferred","","prototype","Prototype changes cast characteristics, cost and copiable identity.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/targeting.rs"
"public_exile_move","public_exile_move","deferred","","public exile move","Owner-selected public exile-to-graveyard moves need choice and physical binding review.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/targeting.rs"
"quantity","quantity","new_engine","165","Engine: reusable public quantity expressions for counts, scaling, and source power","Automatic numeric evaluation only; existing draw, damage, characteristic, payment and candidate messages remain unchanged. No new choices or token identity machinery.","tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-core/src/engine/history.rs"
"result_continuation","result_continuation","existing_dependency","159","Typed resolution receipts, result cohorts, and conditional continuations","Reuse live issue ownership; broader new instances still need their exact scope checked.","tricerules/tricerules-cards/src/primitives/effects.rs"
"role_token","role_token","deferred","","role token","Attached Role tokens require token/Aura identity, entry and special SBA rules.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/targeting.rs"
"sacrifice_history","graveyard_history","new_engine","167","Engine: committed graveyard-entry and sacrifice turn facts","Only internal facts and predicates are new. Existing movement output remains identical; no new graveyard identities, reorderings, selection or public history payload.","tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-core/src/engine/history.rs;tricerules/tricerules-core/src/engine/resolution/mod.rs;tricerules/tricerules-core/src/engine/mod.rs"
"saddle","saddle","deferred","","saddle","Saddle requires power-sum choices, designation and contributor identity.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/targeting.rs"
"saga","saga","deferred","","saga","Lore counters, chapter timing and final-chapter sacrifice require a separate mechanic plan.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/targeting.rs"
"source_zone_move","source_zone_move","deferred","","source zone move","New public-zone self-moves beyond #155's return-to-hand scope require generation/physical audit.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/targeting.rs"
"spell_copy_retarget","spell_copy_retarget","deferred","","spell copy retarget","Observed-spell copying with target replacement needs a client choice and stack-identity plan.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/targeting.rs"
"spell_history","spell_history","new_engine","166","Engine: filtered spell-cast facts and cast-origin history","Facts stay internal to Rust; existing cast commands and normal trigger/damage events suffice. Origin history is not broadcast as a new private-zone ledger.","tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-core/src/engine/history.rs;tricerules/tricerules-core/src/engine/casting.rs"
"spell_origin_reduction","spell_origin_reduction","deferred","","spell origin reduction","Origin-based reductions and Plot costs need a separate publication/cost plan.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/targeting.rs"
"spree","spree","deferred","","spree","Cost-bearing mode combinations require at-least-one cast-choice coupling.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/targeting.rs"
"suspect","suspect","deferred","","suspect","Persistent Suspect creation/removal needs designation and visible-rule publication.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/targeting.rs"
"tap_observer","tap_observer","new_engine","169","Engine: actor-aware tap events and grouped tap triggers","No new tap command or visual event is required. Existing tapped-state synchronization and normal triggered effects are unchanged.","tricerules/tricerules-core/src/engine/mod.rs;tricerules/tricerules-core/src/engine/triggers.rs;tricerules/tricerules-core/src/engine/resolution/misc.rs"
"target_ordinal","target_ordinal","deferred","","target ordinal","Valiant counts the first qualifying targeting event, not the first ability trigger; a separate occurrence fact is required.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/targeting.rs"
"target_predicate","target_predicate","new_engine","176","Engine: zone-aware target and cohort characteristic predicates","Current target/cost/cohort candidates and card maps suffice. No new picker, candidate identity, physical movement, hidden-data field or client legality logic.","tricerules/tricerules-cards/src/primitives/targeting.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-core/src/engine/targeting.rs;tricerules/tricerules-core/src/engine/legal_actions.rs"
"token_copy","token_copy","existing_dependency","46","Token copy effects — Populate and create-a-copy tokens","#46 is a substrate dependency only; Offspring's copy modifications remain separately deferred.","tricerules/tricerules-cards/src/primitives/effects.rs"
"trigger_budget","trigger_budget","new_engine","164","Engine: per-turn trigger limits with stable ability identity","Only Rust trigger metadata and usage state change. Existing StackPushed/trigger-choice and legal-action messages carry any resulting ordinary triggers.","tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-core/src/engine/triggers.rs;tricerules/tricerules-core/src/state.rs"
"unearth","unearth","deferred","","unearth","Unearth uses graveyard activation, delayed exile and leave replacement with physical identity.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/targeting.rs"
"zone_cost_quantity","zone_cost_quantity","deferred","","zone cost quantity","Counting owned graveyard/exile cards for costs needs zone visibility and cost snapshot review.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/targeting.rs"
"zone_observer","zone_observer","new_engine","168","Engine: filtered and batched permanent event observers","Observe already-supported movements without altering their physical binding or order. New fields are internal; outcomes use existing tokens, counters, damage and trigger messages.","tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-core/src/engine/triggers.rs;tricerules/tricerules-core/src/engine/mod.rs"
