"gap","capability","disposition","issue","title","scope_reason","code_evidence"
"copy_next_spell","copy next spell","deferred","","copy next spell","Retained as calibration evidence pending a stronger multi-card design, an existing-contract audit, or a separate cross-component plan.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine"
"counter_transfer","counter transfer","deferred","","counter transfer","Retained as calibration evidence pending a stronger multi-card design, an existing-contract audit, or a separate cross-component plan.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine"
"damage_each_multiple_targets","damage each multiple targets","deferred","","damage each multiple targets","Retained as calibration evidence pending a stronger multi-card design, an existing-contract audit, or a separate cross-component plan.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine"
"damage_event_amount","damage event amount","deferred","","damage event amount","Retained as calibration evidence pending a stronger multi-card design, an existing-contract audit, or a separate cross-component plan.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine"
"death_filter_toughness_or","death filter toughness or","deferred","","death filter toughness or","Retained as calibration evidence pending a stronger multi-card design, an existing-contract audit, or a separate cross-component plan.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine"
"delayed_conditional_return","delayed conditional return","deferred","","delayed conditional return","Retained as calibration evidence pending a stronger multi-card design, an existing-contract audit, or a separate cross-component plan.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine"
"discard_event_card_permission","discard event card permission","deferred","","discard event card permission","Retained as calibration evidence pending a stronger multi-card design, an existing-contract audit, or a separate cross-component plan.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine"
"double_counters","double counters","deferred","","double counters","Retained as calibration evidence pending a stronger multi-card design, an existing-contract audit, or a separate cross-component plan.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine"
"external_equip_cost_modifier","external equip cost modifier","deferred","","external equip cost modifier","Retained as calibration evidence pending a stronger multi-card design, an existing-contract audit, or a separate cross-component plan.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine"
"filtered_combat_damage_observer","filtered combat damage observer","deferred","","filtered combat damage observer","Retained as calibration evidence pending a stronger multi-card design, an existing-contract audit, or a separate cross-component plan.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine"
"grandeur_filtered_discard","grandeur filtered discard","deferred","","grandeur filtered discard","Retained as calibration evidence pending a stronger multi-card design, an existing-contract audit, or a separate cross-component plan.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine"
"graveyard_entry_turn_target","graveyard entry turn target","deferred","","graveyard entry turn target","Retained as calibration evidence pending a stronger multi-card design, an existing-contract audit, or a separate cross-component plan.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine"
"graveyard_trigger_source","graveyard trigger source","deferred","","graveyard trigger source","Retained as calibration evidence pending a stronger multi-card design, an existing-contract audit, or a separate cross-component plan.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine"
"hand_activated_split_destination","hand activated split destination","deferred","","hand activated split destination","Retained as calibration evidence pending a stronger multi-card design, an existing-contract audit, or a separate cross-component plan.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine"
"hand_bottom_resolution_cost","hand bottom resolution cost","deferred","","hand bottom resolution cost","Retained as calibration evidence pending a stronger multi-card design, an existing-contract audit, or a separate cross-component plan.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine"
"hand_to_battlefield_choice","hand to battlefield choice","deferred","","hand to battlefield choice","Retained as calibration evidence pending a stronger multi-card design, an existing-contract audit, or a separate cross-component plan.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine"
"immediate_blink_attacking","immediate blink attacking","deferred","","immediate blink attacking","Retained as calibration evidence pending a stronger multi-card design, an existing-contract audit, or a separate cross-component plan.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine"
"look_choose_multiple","look choose multiple","deferred","","look choose multiple","Retained as calibration evidence pending a stronger multi-card design, an existing-contract audit, or a separate cross-component plan.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine"
"multi_opponent_exile","multi opponent exile","deferred","","multi opponent exile","Retained as calibration evidence pending a stronger multi-card design, an existing-contract audit, or a separate cross-component plan.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine"
"optional_modal_zero","optional modal zero","deferred","","optional modal zero","Retained as calibration evidence pending a stronger multi-card design, an existing-contract audit, or a separate cross-component plan.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine"
"optional_object_cast_cost","optional object cast cost","new_engine","182","Object-backed cast-cost options and Teamwork receipts","Repeated current-Standard consumers and a bounded reusable seam justify dedicated issue #182.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine"
"permanent_left_battlefield_turn_condition","permanent left battlefield turn condition","new_engine","189","Controller-relative permanent-left-battlefield turn facts for Disappear","Repeated current-Standard consumers and a bounded reusable seam justify dedicated issue #189.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine"
"power_up","power up","new_engine","183","Power-up entered-this-turn activation cost reduction","Repeated current-Standard consumers and a bounded reusable seam justify dedicated issue #183.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine"
"prepared","prepared","new_engine","180","Preparation cards and engine-authored prepared spell-copy actions","Repeated current-Standard consumers and a bounded reusable seam justify dedicated issue #180.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine"
"resolution_exile_graveyard_cost","resolution exile graveyard cost","deferred","","resolution exile graveyard cost","Retained as calibration evidence pending a stronger multi-card design, an existing-contract audit, or a separate cross-component plan.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine"
"restricted_mana_ability_any","restricted mana ability any","new_engine","190","Restricted mana that may activate any ability","Repeated current-Standard consumers and a bounded reusable seam justify dedicated issue #190.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine"
"reveal_until","reveal until","deferred","","reveal until","Retained as calibration evidence pending a stronger multi-card design, an existing-contract audit, or a separate cross-component plan.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine"
"saga","saga","new_engine","185","Saga lore progression and chapter-trigger lifecycle","Repeated current-Standard consumers and a bounded reusable seam justify dedicated issue #185.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine"
"self_stun_cost","self stun cost","deferred","","self stun cost","Retained as calibration evidence pending a stronger multi-card design, an existing-contract audit, or a separate cross-component plan.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine"
"sneak","sneak","new_engine","179","Sneak casting through the declare-blockers payment lifecycle","Repeated current-Standard consumers and a bounded reusable seam justify dedicated issue #179.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine"
"source_power_multiplier","source power multiplier","deferred","","source power multiplier","Retained as calibration evidence pending a stronger multi-card design, an existing-contract audit, or a separate cross-component plan.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine"
"spell_mana_spent_event_context","spell mana spent event context","new_engine","181","Per-spell actual mana-spent context for Opus and Increment","Repeated current-Standard consumers and a bounded reusable seam justify dedicated issue #181.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine"
"split_search_destination","split search destination","deferred","","split search destination","Retained as calibration evidence pending a stronger multi-card design, an existing-contract audit, or a separate cross-component plan.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine"
"stack_target_cost_modifier","stack target cost modifier","deferred","","stack target cost modifier","Retained as calibration evidence pending a stronger multi-card design, an existing-contract audit, or a separate cross-component plan.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine"
"storied","storied","new_engine","184","Storied and the persistent enduring-story player designation","Repeated current-Standard consumers and a bounded reusable seam justify dedicated issue #184.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine"
"teamwork","teamwork","new_engine","182","Object-backed cast-cost options and Teamwork receipts","Repeated current-Standard consumers and a bounded reusable seam justify dedicated issue #182.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine"
"token_entry_counters_amount","token entry counters amount","deferred","","token entry counters amount","Retained as calibration evidence pending a stronger multi-card design, an existing-contract audit, or a separate cross-component plan.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine"
"top_library_visibility","top library visibility","deferred","","top library visibility","Retained as calibration evidence pending a stronger multi-card design, an existing-contract audit, or a separate cross-component plan.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine"
"trigger_additional_time","trigger additional time","deferred","","trigger additional time","Retained as calibration evidence pending a stronger multi-card design, an existing-contract audit, or a separate cross-component plan.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine"
"x_target_cardinality","x target cardinality","deferred","","x target cardinality","Retained as calibration evidence pending a stronger multi-card design, an existing-contract audit, or a separate cross-component plan.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine"
"zone_filter_mana_cost_x","zone filter mana cost x","deferred","","zone filter mana cost x","Retained as calibration evidence pending a stronger multi-card design, an existing-contract audit, or a separate cross-component plan.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine"
