"sample_id","stratum","stratum_rank","selection_hash","oracle_id","printing_id","collector_number","set","set_name","rarity","name","mana_cost","type_line","oracle_text","layout","power","toughness","colors","standard_legality","classification","implementation_family","recommended_tier","primary_gap","secondary_gaps","rationale","code_evidence","authority_url"
"11","TMT-common","11","2eef7efc772d75fa36ff9951bd93a7dbac2334e244e17bb0f412b67924a6ce24","faab52c0-ce79-40af-a156-b193a62d439e","faab52c0-ce79-40af-a156-b193a62d439e","145","TMT","Teenage Mutant Ninja Turtles","common","EPF Point Squad","1{R/W}{R/W}","Creature — Human Soldier","Alliance — Whenever another creature you control enters, put a +1/+1 counter on this creature.","normal","2","1","WR","legal","full_now","composable_ron","Data","","","All sampled rules text is expressible through current card data and shared primitives; no new Rust or wire contract is required.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine","https://magic.wizards.com/en/news/feature/teenage-mutant-ninja-turtles-release-notes"
"12","TMT-common","12","36a86d7ecc22383d9e5151f38aca75dff8b8c67b0b5a6aea7c8926ea8c3fb5d9","bbe1d7e5-68e2-4458-aa3f-5e97fa8e7cae","bbe1d7e5-68e2-4458-aa3f-5e97fa8e7cae","100","TMT","Teenage Mutant Ninja Turtles","common","Purple Dragon Punks","1R","Creature — Human Rogue","{T}: Add {R}. Spend this mana only to cast an artifact spell or to activate an ability.","normal","2","2","R","legal","partial_now","ron_after_omission","Engine","restricted_mana_ability_any","","The mana ability and artifact-spell restriction are expressible; the unrestricted activate-an-ability branch is not.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine","https://magic.wizards.com/en/news/feature/teenage-mutant-ninja-turtles-release-notes"
"13","TMT-common","13","394f23da454c4662f5905b8bea11e5fd9b023f431242a03d3d836dedce00ba02","bc19807b-09e8-4923-abc3-d4bbe8cde5fc","bc19807b-09e8-4923-abc3-d4bbe8cde5fc","133","TMT","Teenage Mutant Ninja Turtles","common","Tenderize","1G","Instant","Target creature you control deals damage equal to its power to target creature an opponent controls.","normal","","","G","legal","full_now","composable_ron","Data","","","All sampled rules text is expressible through current card data and shared primitives; no new Rust or wire contract is required.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine","https://magic.wizards.com/en/news/feature/teenage-mutant-ninja-turtles-release-notes"
"14","TMT-common","14","3a6ebc4e4ab0470301a74359e9749d93f16d7236d6d2716a54a690f6c354a6a5","243e392b-48b0-4e90-ae22-9a696f45e878","243e392b-48b0-4e90-ae22-9a696f45e878","94","TMT","Teenage Mutant Ninja Turtles","common","Manhole Missile","1R","Instant","Manhole Missile deals 3 damage to target creature. You may put a card from your hand on the bottom of your library. If you do, draw a card.","normal","","","R","legal","partial_now","ron_after_omission","Engine","hand_bottom_resolution_cost","","The damage is composable; putting a chosen hand card on the library bottom as an optional resolution cost is absent.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine","https://magic.wizards.com/en/news/feature/teenage-mutant-ninja-turtles-release-notes"
"15","TMT-common","15","46ccceba77cd30e80f22567c3572bffdea788206218718f2a0db3d68bdc339ef","a5b83101-e3ef-4ffe-a886-4fc2b57a0947","a5b83101-e3ef-4ffe-a886-4fc2b57a0947","10","TMT","Teenage Mutant Ninja Turtles","common","Jennika, Bad Apple Big Sister","4W","Legendary Creature — Mutant Ninja Turtle","When Jennika enters, create a 2/2 red Mutant creature token.
Plainscycling {2} ({2}, Discard this card: Search your library for a Plains card, reveal it, put it into your hand, then shuffle.)","normal","3","3","W","legal","full_now","composable_ron","Data","","","All sampled rules text is expressible through current card data and shared primitives; no new Rust or wire contract is required.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine","https://magic.wizards.com/en/news/feature/teenage-mutant-ninja-turtles-release-notes"
"16","TMT-common","16","4b009c2802777f94212e022588b6a4e5720b2829ddfb01f42e9c96bc72cbd640","abb1ab9c-b067-4b75-8e5b-a893b7948df1","abb1ab9c-b067-4b75-8e5b-a893b7948df1","147","TMT","Teenage Mutant Ninja Turtles","common","Foot Ninjas","4{W/B}{W/B}","Creature — Human Ninja","Sneak {3}{W/B} (You may cast this spell for {3}{W/B} if you also return an unblocked attacker you control to hand during the declare blockers step. It enters tapped and attacking.)
When this creature enters, you gain 3 life.","normal","5","5","WB","legal","partial_now","ron_after_omission","Engine","sneak","","The ordinary creature and life-gain ETB are composable; Sneak casting is absent.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine","https://magic.wizards.com/en/news/feature/teenage-mutant-ninja-turtles-release-notes"
"17","TMT-common","17","54a155a5ca838ac1836410f78d7f86e74b8eadcc59a3fd985af3f53edc008df4","42cdb88d-675a-43bb-b85c-51c4cc526315","42cdb88d-675a-43bb-b85c-51c4cc526315","165","TMT","Teenage Mutant Ninja Turtles","common","Putrid Pals","2{B/G}{B/G}","Creature — Human Ooze Mutant","Deathtouch
Disappear — This creature enters with two +1/+1 counters on it if a permanent left the battlefield under your control this turn.","normal","3","3","BG","legal","blocked","shared_capability_required","Engine","permanent_left_battlefield_turn_condition","","The conditional enters-with-counters replacement is the substantive behavior; deathtouch alone is insufficient under the calibration rubric.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine","https://magic.wizards.com/en/news/feature/teenage-mutant-ninja-turtles-release-notes"
"18","TMT-common","18","5cf6f0832330e730ecd4b2a67811fe2843941ad8bad703d2af6582f858710899","08b3af61-d516-45ca-aede-2f50ba23cb07","08b3af61-d516-45ca-aede-2f50ba23cb07","85","TMT","Teenage Mutant Ninja Turtles","common","Bot Bashing Time","3R","Sorcery","Bot Bashing Time deals 6 damage to target creature. If that creature would die this turn, exile it instead.","normal","","","R","legal","full_now","composable_ron","Data","","","All sampled rules text is expressible through current card data and shared primitives; no new Rust or wire contract is required.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine","https://magic.wizards.com/en/news/feature/teenage-mutant-ninja-turtles-release-notes"
"19","TMT-common","19","6065b2aeafbc0ca4ca3f0d043029b299bd720efe3fdf113263d72fc7b0885087","2ddfcc4d-dd5f-42f1-8f33-a8e8b5354534","2ddfcc4d-dd5f-42f1-8f33-a8e8b5354534","45","TMT","Teenage Mutant Ninja Turtles","common","Mind Transfer Protocol","2U","Instant","Until end of turn, target artifact or creature becomes an artifact creature with base power and toughness 4/5.
Draw a card.","normal","","","U","legal","partial_now","ron_after_omission","Engine","animation","","Draw is composable, but the one-shot artifact-creature type addition plus base 4/5 effect lacks a public spell primitive.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine","https://magic.wizards.com/en/news/feature/teenage-mutant-ninja-turtles-release-notes"
"20","TMT-common","20","623aaa3ef782f743d6fbb5f4a28b8786a3dd22b88666d81c7a3aad5538d748b1","eb44c134-fcd8-4ad8-841c-f1723ba93216","eb44c134-fcd8-4ad8-841c-f1723ba93216","98","TMT","Teenage Mutant Ninja Turtles","common","Null Group Biological Assets","2R","Creature — Mutant Mercenary","During your turn, this creature has first strike.
Whenever this creature attacks, you may discard a card. If you do, draw a card.","normal","3","1","R","legal","full_now","composable_ron","Data","","","All sampled rules text is expressible through current card data and shared primitives; no new Rust or wire contract is required.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine","https://magic.wizards.com/en/news/feature/teenage-mutant-ninja-turtles-release-notes"
"21","TMT-uncommon","1","04a75e18adac4030eed621e6fc4d439e2fe6cec54bec2acfb1abd7e359285619","562395ef-fb28-4b34-b03b-5dbf0507fdc3","562395ef-fb28-4b34-b03b-5dbf0507fdc3","236","TMT","Teenage Mutant Ninja Turtles","uncommon","Jennika's Technique","2R","Instant","Sneak {R} (You may cast this spell for {R} if you also return an unblocked attacker you control to hand during the declare blockers step.)
Jennika's Technique deals 2 damage to each creature.","normal","","","R","legal","partial_now","ron_after_omission","Engine","sneak","","The damage spell is composable at its normal cost; Sneak casting is absent.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine","https://magic.wizards.com/en/news/feature/teenage-mutant-ninja-turtles-release-notes"
"22","TMT-uncommon","2","05bd416012b7754dbb4b6a38ad421acc3ada3035ca9e859d5240feaaf4f98237","14e0892c-a556-43c3-974f-6be44188da2e","14e0892c-a556-43c3-974f-6be44188da2e","49","TMT","Teenage Mutant Ninja Turtles","uncommon","Ray Fillet, Man Ray","3U","Legendary Creature — Fish Mutant","Flying
When Ray Fillet enters, create a Mutagen token. (It's an artifact with ""{1}, {T}, Sacrifice this token: Put a +1/+1 counter on target creature. Activate only as a sorcery."")
{2}, Remove a +1/+1 counter from a creature you control: Draw a card.","normal","3","3","U","legal","full_now","composable_ron","Data","","","All sampled rules text is expressible through current card data and shared primitives; no new Rust or wire contract is required.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine","https://magic.wizards.com/en/news/feature/teenage-mutant-ninja-turtles-release-notes"
"23","TMT-uncommon","3","0943ccbd7977d65f6ae777aec8e4f826da5ed16d707b793f39ac4b05a64c64da","7a4f1ccc-2225-4cd0-abef-0eb7a8eae9cf","7a4f1ccc-2225-4cd0-abef-0eb7a8eae9cf","11","TMT","Teenage Mutant Ninja Turtles","uncommon","Koya, Death from Above","2W","Legendary Creature — Mutant Ninja Bird","Flying
When Koya enters, exile up to one other target creature. At the beginning of the next end step, you may pay {3}{B}. If you don't, return that card to the battlefield under its owner's control.","normal","2","1","W","legal","blocked","shared_capability_required","Engine","delayed_conditional_return","","The exile, next-end-step payment, and conditional exact-card return must remain linked; flying alone is insufficient.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine","https://magic.wizards.com/en/news/feature/teenage-mutant-ninja-turtles-release-notes"
"24","TMT-uncommon","4","0b9b63cd56e73dd9fb874cc28d17e86153138b241d733935e3ebfef48efe9b5c","02f7281f-b50c-4a1c-a2fc-3caeb6ab7d41","02f7281f-b50c-4a1c-a2fc-3caeb6ab7d41","120","TMT","Teenage Mutant Ninja Turtles","uncommon","Michelangelo, Mutant BFF","2GG","Legendary Creature — Mutant Ninja Turtle","Each creature you control with a counter on it can't be blocked by more than one creature.
Whenever Michelangelo enters or attacks, create a Mutagen token. (It's an artifact with ""{1}, {T}, Sacrifice this token: Put a +1/+1 counter on target creature. Activate only as a sorcery."")","normal","4","4","G","legal","full_now","composable_ron","Data","","","All sampled rules text is expressible through current card data and shared primitives; no new Rust or wire contract is required.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine","https://magic.wizards.com/en/news/feature/teenage-mutant-ninja-turtles-release-notes"
"25","TMT-uncommon","5","10f5981ae437395f5cab4a260ba78f50a1248c73807838a2c82b61a6f0292e55","ef9e227e-c581-479c-a962-2f191352b07f","ef9e227e-c581-479c-a962-2f191352b07f","23","TMT","Teenage Mutant Ninja Turtles","uncommon","Quintessential Katana","W","Artifact — Equipment","Equipped creature gets +1/+1 and has ""Whenever this creature deals combat damage, untap it and you gain 2 life.""
Whenever a Ninja you control enters, you may attach this Equipment to it.
Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)","normal","","","W","legal","partial_now","ron_after_omission","Engine","combat_damage_any_recipient","","Equipment and Ninja-entry attachment behavior are composable; the attached creature trigger currently observes combat damage to a player only.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine","https://magic.wizards.com/en/news/feature/teenage-mutant-ninja-turtles-release-notes"
"26","TMT-uncommon","6","13e0237ea4f8a62d2adc8a20922668af829198fdf536c73e63d75ee20be49a67","0f886117-aff3-4db7-9cf5-7cbe94c8cd02","0f886117-aff3-4db7-9cf5-7cbe94c8cd02","155","TMT","Teenage Mutant Ninja Turtles","uncommon","Lessons from Life","2GU","Sorcery","Draw three cards. You may put a land card from your hand onto the battlefield tapped.","normal","","","UG","legal","partial_now","ron_after_omission","Engine","hand_to_battlefield_choice","","Draw three is composable; selecting a land from hand and moving it to the battlefield tapped is not.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine","https://magic.wizards.com/en/news/feature/teenage-mutant-ninja-turtles-release-notes"
"27","TMT-uncommon","7","1831f8ebc11b6ac7e9b32dc591ba26a883b13e9c06018a98ac20da7cb893534a","3d3d0a9a-3bde-451f-9d5a-af6c2a393953","3d3d0a9a-3bde-451f-9d5a-af6c2a393953","228","TMT","Teenage Mutant Ninja Turtles","uncommon","Donatello's Technique","2U","Sorcery","Sneak {U} (You may cast this spell for {U} if you also return an unblocked attacker you control to hand during the declare blockers step.)
Draw two cards.","normal","","","U","legal","partial_now","ron_after_omission","Engine","sneak","","Draw two is composable at the normal cost; Sneak casting is absent.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine","https://magic.wizards.com/en/news/feature/teenage-mutant-ninja-turtles-release-notes"
"28","TMT-uncommon","8","1c1500261060d53c6476e67288da0f561b6896d9a3754524e9f7590e1b06f90b","1308dadc-08a9-40bd-98a4-fb66d792e27d","1308dadc-08a9-40bd-98a4-fb66d792e27d","160","TMT","Teenage Mutant Ninja Turtles","uncommon","The Neutrinos","2RW","Legendary Creature — Elf Rebel","Flying
Alliance — Whenever another creature you control enters, The Neutrinos get +1/+0 until end of turn.
Whenever The Neutrinos attack, exile up to one target creature you own, then return it to the battlefield under your control tapped and attacking.","normal","2","4","WR","legal","partial_now","ron_after_omission","Engine","immediate_blink_attacking","","Flying and Alliance are composable; exile-and-immediately-return tapped and attacking needs generation-safe identity and combat placement.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine","https://magic.wizards.com/en/news/feature/teenage-mutant-ninja-turtles-release-notes"
"29","TMT-uncommon","9","1e7be795f24e21f2cdd3d46fd1ae452a8801e3d14df5813a12d3aa0a5ed74370","cbce9297-f601-4478-8865-6848700c4a42","cbce9297-f601-4478-8865-6848700c4a42","206","TMT","Teenage Mutant Ninja Turtles","uncommon","April, Reporter of the Weird","2U","Legendary Creature — Human Detective","Whenever April deals combat damage to a player, draw that many cards, then discard a card.","normal","2","2","U","legal","blocked","shared_capability_required","Engine","damage_event_amount","","The combat-damage trigger does not expose the event amount needed for the draw count.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine","https://magic.wizards.com/en/news/feature/teenage-mutant-ninja-turtles-release-notes"
"30","TMT-uncommon","10","20e74a1354fbc876f079794d7edcdca9d74ac60dc5278106082e3f0964125906","78c55706-4d00-4b97-965c-0b2d0963e59d","78c55706-4d00-4b97-965c-0b2d0963e59d","6","TMT","Teenage Mutant Ninja Turtles","uncommon","Featherbrained Filcher","W","Creature — Bird Mutant","Flying
When this creature leaves the battlefield, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")","normal","0","2","W","legal","full_now","composable_ron","Data","","","All sampled rules text is expressible through current card data and shared primitives; no new Rust or wire contract is required.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine","https://magic.wizards.com/en/news/feature/teenage-mutant-ninja-turtles-release-notes"
"31","TMT-uncommon","11","22b38dff410bdb75570816aea0d1879e0c2a9be76ca9769ed680a3d3ef79fa8c","fcb59b16-3d76-478e-9306-969dd2cb1b5a","fcb59b16-3d76-478e-9306-969dd2cb1b5a","136","TMT","Teenage Mutant Ninja Turtles","uncommon","Venus, Torn Between Worlds","4G","Legendary Creature — Mutant Frog Turtle","Whenever Venus is dealt damage, put that many +1/+1 counters on her. (She must survive the damage to get the counters.)
Whenever a creature you control with a counter on it deals combat damage to a player, you may pay {U}. If you do, draw a card.","normal","5","5","G","legal","blocked","shared_capability_required","Engine","damage_event_amount","filtered_combat_damage_observer","Neither counters equal to damage received nor watching any counter-bearing creature deal combat damage is represented.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine","https://magic.wizards.com/en/news/feature/teenage-mutant-ninja-turtles-release-notes"
"32","TMT-uncommon","12","239a578adb237eca396c63208a963cbcb2c81664a7f245fd575f91604f73a3cc","c4aeb45b-13ed-43ad-a366-7be10dec6222","c4aeb45b-13ed-43ad-a366-7be10dec6222","109","TMT","Teenage Mutant Ninja Turtles","uncommon","Spicy Oatmeal Pizza","2R","Artifact — Food","When this artifact enters, it deals 4 damage to any target and 3 damage to you.
{2}, {T}, Sacrifice this artifact: You gain 3 life.","normal","","","R","legal","full_now","composable_ron","Data","","","All sampled rules text is expressible through current card data and shared primitives; no new Rust or wire contract is required.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine","https://magic.wizards.com/en/news/feature/teenage-mutant-ninja-turtles-release-notes"
"33","TMT-uncommon","13","23fd5ef524b7ecd2435ca55d2560697aa0fcf9f2bcd3a147886a917429532964","f4b8f7e6-9bff-430b-b2f5-4308d57d1194","f4b8f7e6-9bff-430b-b2f5-4308d57d1194","137","TMT","Teenage Mutant Ninja Turtles","uncommon","West Wind Avatar","5GG","Creature — Cat Spirit Avatar","Trample
Whenever this creature enters or attacks, you may sacrifice a token or a land. If you do, you gain 3 life.
Disappear — At the beginning of your end step, if a permanent left the battlefield under your control this turn, draw a card.","normal","7","7","G","legal","partial_now","ron_after_omission","Engine","permanent_left_battlefield_turn_condition","","The optional sacrifice-for-life trigger is composable; Disappear needs a controller-relative departure fact.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine","https://magic.wizards.com/en/news/feature/teenage-mutant-ninja-turtles-release-notes"
"34","TMT-uncommon","14","25aa68acf8b24cd049fa271e2677a2f49ba481b894b68a9e3cd6b8efef7ee310","7df26085-eedb-4bdd-a60a-aabfbe9c3157","7df26085-eedb-4bdd-a60a-aabfbe9c3157","148","TMT","Teenage Mutant Ninja Turtles","uncommon","Genghis Frog","GU","Legendary Creature — Frog Mutant Rogue","Trample
Whenever Genghis Frog or another Mutant you control enters, create a Mutagen token. (It's an artifact with ""{1}, {T}, Sacrifice this token: Put a +1/+1 counter on target creature. Activate only as a sorcery."")","normal","1","3","UG","legal","full_now","composable_ron","Data","","","All sampled rules text is expressible through current card data and shared primitives; no new Rust or wire contract is required.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine","https://magic.wizards.com/en/news/feature/teenage-mutant-ninja-turtles-release-notes"
"35","TMT-uncommon","15","25c0d2539aac3ff3556f50e67c85516404bb2c503146c61853ae040985014851","beef76b7-856e-48ab-bc73-e4f456c3a100","beef76b7-856e-48ab-bc73-e4f456c3a100","48","TMT","Teenage Mutant Ninja Turtles","uncommon","Ooze Spill","1UU","Instant","Counter target spell. Create a Mutagen token. (It's an artifact with ""{1}, {T}, Sacrifice this token: Put a +1/+1 counter on target creature. Activate only as a sorcery."")","normal","","","U","legal","full_now","composable_ron","Data","","","All sampled rules text is expressible through current card data and shared primitives; no new Rust or wire contract is required.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives;tricerules/tricerules-core/src/engine","https://magic.wizards.com/en/news/feature/teenage-mutant-ninja-turtles-release-notes"
