"sample_id","stratum","stratum_rank","selection_hash","oracle_id","scryfall_id","name","mana_cost","type_line","oracle_text","keywords","layout","power","toughness","faces_json","classification","implementation_family","recommended_tier","primary_gap","secondary_gaps","rationale","code_evidence","scryfall_uri","rulings_uri"
"18","BRO-common","18","225f9d31a08ea1bf285c635cb9df19817d64fa10acce27955f7853db389dba25","37069c66-c17a-40ac-80f4-14ef49d18008","d08eadf5-a86d-4e8d-b65d-79b4f88477b9","Machine Over Matter","{1}{U}","Instant","This spell costs {1} less to cast if you control an artifact creature.
Return target nonland permanent to its owner's hand.","","normal","","","[]","full_now","composable_ron","Data","","","Artifact-creature BattlefieldAggregate condition reduces generic cost; bounce.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/targeting.rs","https://scryfall.com/card/bro/57/machine-over-matter?utm_source=api","https://api.scryfall.com/cards/d08eadf5-a86d-4e8d-b65d-79b4f88477b9/rulings"
"19","BRO-common","19","2397e89e1378863ca9bb623bf49825adfaa565d956cce6b81dc01adbfbb60b0e","77eafe49-b9c5-461d-89c5-cec217dd2974","aaa9c6f1-3938-448b-bdc3-22420c5984d3","Disfigure","{B}","Instant","Target creature gets -2/-2 until end of turn.","","normal","","","[]","full_now","composable_ron","Data","","","Fixed negative PumpTarget.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/targeting.rs","https://scryfall.com/card/bro/91/disfigure?utm_source=api","https://api.scryfall.com/cards/aaa9c6f1-3938-448b-bdc3-22420c5984d3/rulings"
"20","BRO-common","20","2a8823dbe9ea3cc92335db88d60a74f7fac177f8f289c80e0f3ee577bbf83d2f","0dbcc5d8-9533-48fd-a69d-bbc6c72aaac5","b5dbc383-7e08-4701-8d4a-6b99b74fe358","Argothian Sprite","{1}{G}","Creature — Faerie","This creature can't be blocked by artifact creatures.
{7}: Put two +1/+1 counters on this creature.","","normal","2","2","[]","partial_now","capability_gap","SharedPrimitiveOrMechanic","combat_predicate","","Source counter activation works; artifact-blocker evasion missing.","tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/keywords.rs;tricerules/tricerules-core/src/engine/combat.rs;tricerules/tricerules-core/src/engine/legal_actions.rs","https://scryfall.com/card/bro/168/argothian-sprite?utm_source=api","https://api.scryfall.com/cards/b5dbc383-7e08-4701-8d4a-6b99b74fe358/rulings"
"21","BRO-common","21","2e998cb7f966b3af6ee50791fcea840fce66a689bb05851c62d4b5c076038309","7fa1430f-cd2e-4071-a161-e32a61e33714","c44b24de-60b4-4855-9111-f1237f71bc4d","Sibling Rivalry","{3}{R}","Sorcery","Gain control of target artifact or creature until end of turn. Untap it. It gains haste until end of turn. Create a tapped Powerstone token. (It's an artifact with ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell."")","","normal","","","[]","partial_now","capability_gap","SharedPrimitiveOrMechanic","powerstone_mana","","Temporary control/untap/haste works; exact Powerstone mana missing.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/targeting.rs","https://scryfall.com/card/bro/152/sibling-rivalry?utm_source=api","https://api.scryfall.com/cards/c44b24de-60b4-4855-9111-f1237f71bc4d/rulings"
"22","BRO-common","22","32698e8bf01ac0fb96533c77196ff23f791080b1c6f21bbebd28270eb5e94516","7c3982c5-6af3-4937-8d1f-e006f4e89342","48f97974-bb65-46b0-a710-12fa4b9343ac","Kill-Zone Acrobat","{2}{B}","Creature — Human Soldier","Whenever this creature attacks, you may sacrifice another creature or artifact. If you do, this creature gains flying until end of turn.","","normal","3","2","[]","full_now","composable_ron","Data","","","Attack trigger with optional resolution sacrifice and source flying.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/targeting.rs","https://scryfall.com/card/bro/106/kill-zone-acrobat?utm_source=api","https://api.scryfall.com/cards/48f97974-bb65-46b0-a710-12fa4b9343ac/rulings"
"23","BRO-common","23","32dd797c3a855a23a26a088b8b17954903c1ec93e1a29be8d17614855a49a8b4","bd101a9b-4c1e-44c8-b9ef-cd79c4d28f36","acbd975d-52f8-4fba-bf97-b8837413edd8","Tawnos's Tinkering","{3}{G}","Instant","Put two +1/+1 counters on target artifact, creature, or land you control. Untap that permanent. If it isn't a creature, it becomes a 0/0 creature in addition to its other types.","","normal","","","[]","partial_now","capability_gap","SharedPrimitiveOrMechanic","animation","result_continuation","Counters/untap work; post-effect conditional noncreature animation missing.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/targeting.rs","https://scryfall.com/card/bro/191/tawnoss-tinkering?utm_source=api","https://api.scryfall.com/cards/acbd975d-52f8-4fba-bf97-b8837413edd8/rulings"
"24","BRO-common","24","3937b0012e1cdf7f3c03f05bdde9517b0dcc6a3df20d76b5ddae69b67cdd77ed","e43e8c00-f1e7-49d2-bb27-f1c16d85cc22","2a64e330-1257-4ec3-9a75-889cdcac3ade","Recommission","{1}{W}","Sorcery","Return target artifact or creature card with mana value 3 or less from your graveyard to the battlefield. If a creature enters this way, it enters with an additional +1/+1 counter on it.","","normal","","","[]","blocked","capability_gap","SharedPrimitiveOrMechanic","target_predicate","result_continuation","Graveyard MV bound and creature-only entry counters need support.","tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/targeting.rs;tricerules/tricerules-core/src/engine/legal_actions.rs;tricerules/tricerules-core/src/engine/targeting.rs","https://scryfall.com/card/bro/22/recommission?utm_source=api","https://api.scryfall.com/cards/2a64e330-1257-4ec3-9a75-889cdcac3ade/rulings"
"25","BRO-common","25","39552a1ea6ddd3c10ca3e8af10164060c461123dd05f5fe189986b38d8d66059","bf037457-82e3-45fd-bc17-5bc25e66c15e","b0eab397-25a6-4377-8e12-e8acef9675cf","Fallaji Archaeologist","{1}{U}","Creature — Human Scout","When this creature enters, mill three cards. You may put a noncreature, nonland card from among the cards milled this way into your hand. If you don't, put a +1/+1 counter on this creature. (To mill a card, put the top card of your library into your graveyard.)","Mill","normal","0","3","[]","partial_now","capability_gap","SharedPrimitiveOrMechanic","result_continuation","","Mill works; selected milled-card recovery and declined-choice branch missing.","tricerules/tricerules-cards/src/primitives/effects.rs","https://scryfall.com/card/bro/48/fallaji-archaeologist?utm_source=api","https://api.scryfall.com/cards/b0eab397-25a6-4377-8e12-e8acef9675cf/rulings"
"26","BRO-common","26","39dd2dd0bd5b2f4090b4162c88dd32f9b81ddc7c4ed3ac8b2449cecd09959807","f13baf38-27fc-4c5d-8fee-459eefdb32da","2323301f-565a-4c0f-bffd-18386ccd1f7a","Powerstone Fracture","{1}{B}","Sorcery","As an additional cost to cast this spell, sacrifice an artifact or creature.
Destroy target creature or planeswalker.","","normal","","","[]","full_now","composable_ron","Data","","","Artifact-or-creature sacrifice additional cost and creature/planeswalker destruction.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/targeting.rs","https://scryfall.com/card/bro/112/powerstone-fracture?utm_source=api","https://api.scryfall.com/cards/2323301f-565a-4c0f-bffd-18386ccd1f7a/rulings"
"27","BRO-common","27","3cdaa2280f922871e6b13a43ca115f360d14edf88586abfb8afaea382c47a070","82caf3e2-da42-4851-b4db-546e2403c4bf","6e6e5338-9b95-4ac7-a57c-5efaa6423531","Boulderbranch Golem","{7}","Artifact Creature — Golem","Prototype {3}{G} — 3/3 (You may cast this spell with different mana cost, color, and size. It keeps its abilities and types.)
When this creature enters, you gain life equal to its power.","Prototype","prototype","6","5","[]","blocked","capability_gap","SharedPrimitiveOrMechanic","prototype","quantity","Prototype missing; ETB life amount cannot read source power.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/targeting.rs;tricerules/tricerules-core/src/engine/history.rs","https://scryfall.com/card/bro/197/boulderbranch-golem?utm_source=api","https://api.scryfall.com/cards/6e6e5338-9b95-4ac7-a57c-5efaa6423531/rulings"
"28","BRO-common","28","43269d43b5bc5a2c30d7ebd5f5b582fb2f32c9acce2caab34c8b3ca1d7d8b8ac","4de71245-9d9b-44ca-9c13-37dc3dfbbcd5","5aa63321-aa28-449d-a31f-869a98c5a6be","Mine Worker","{2}","Artifact Creature — Assembly-Worker","{T}: You gain 1 life. If you control creatures named Power Plant Worker and Tower Worker, you gain 3 life instead.","","normal","2","1","[]","full_now","composable_ron","Data","","","Nested FirstApplicable branches over two named battlefield-count conditions.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/targeting.rs","https://scryfall.com/card/bro/239/mine-worker?utm_source=api","https://api.scryfall.com/cards/5aa63321-aa28-449d-a31f-869a98c5a6be/rulings"
"29","BRO-common","29","45fa0c933aca97b67d26cafeb75eaf004066fb95afa8225a127558bb63def14e","ee2c8714-6e85-4eb5-9bd6-057b6abfb136","1873cc9e-30b6-498e-b008-9d11a8bbf9b9","Warlord's Elite","{2}{W}","Creature — Human Soldier","As an additional cost to cast this spell, tap two untapped artifacts, creatures, and/or lands you control.","","normal","4","4","[]","full_now","composable_ron","Data","","","Mandatory two-object TapPermanents additional cost.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/targeting.rs","https://scryfall.com/card/bro/32/warlords-elite?utm_source=api","https://api.scryfall.com/cards/1873cc9e-30b6-498e-b008-9d11a8bbf9b9/rulings"
"30","BRO-common","30","467235077d8c58390a7365b84c6de44752ecdaabaa64b42b51d0311d290174d5","0180bed7-892a-4af9-ac4b-96c9cd4beb42","f1140cb9-6c48-4054-966e-5cc02aa7d5a4","Gix's Caress","{2}{B}","Sorcery","Target opponent reveals their hand. You choose a nonland card from it. That player discards that card.
Create a tapped Powerstone token. (It's an artifact with ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell."")","","normal","","","[]","partial_now","capability_gap","SharedPrimitiveOrMechanic","powerstone_mana","","Public hand discard works; exact Powerstone mana missing.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/targeting.rs","https://scryfall.com/card/bro/96/gixs-caress?utm_source=api","https://api.scryfall.com/cards/f1140cb9-6c48-4054-966e-5cc02aa7d5a4/rulings"
"31","BRO-uncommon","1","00b5d77c22c60cd2fc930a349fe4595fe27bd60ddeae73daf43d5a693ccd3ae8","cb7e451b-a9d2-4f50-9651-b5df34e34d99","7d356456-865d-4c92-8923-ce7384e29a79","Disciples of Gix","{4}{B}{B}","Creature — Phyrexian Human","When this creature enters, search your library for up to three artifact cards, put them into your graveyard, then shuffle.","","normal","4","4","[]","blocked","capability_gap","SharedPrimitiveOrMechanic","library_algorithm","","SearchLibrary has no graveyard destination.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/targeting.rs","https://scryfall.com/card/bro/90/disciples-of-gix?utm_source=api","https://api.scryfall.com/cards/7d356456-865d-4c92-8923-ce7384e29a79/rulings"
"32","BRO-uncommon","2","03753a1c76447f7c641663f193d20612bc0a97ecf9902ae5355eaf62d3084c0b","06bea0b2-1d0f-4d64-a13e-723d08042e83","df343bf9-f535-42c7-a2d0-8adfd068b354","Arbalest Engineers","{1}{R}{G}","Creature — Human Artificer","When this creature enters, choose one —
• This creature deals 1 damage to any target.
• Put a +1/+1 counter on target creature. It gains trample and haste until end of turn.
• Create a tapped Powerstone token. (It's an artifact with ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell."")","","normal","2","2","[]","partial_now","capability_gap","SharedPrimitiveOrMechanic","powerstone_mana","","First two ETB modes work; Powerstone mode incomplete.","tricerules/tricerules-cards/src/card_def.rs;tricerules/tricerules-cards/src/primitives/abilities.rs;tricerules/tricerules-cards/src/primitives/effects.rs;tricerules/tricerules-cards/src/primitives/targeting.rs","https://scryfall.com/card/bro/206/arbalest-engineers?utm_source=api","https://api.scryfall.com/cards/df343bf9-f535-42c7-a2d0-8adfd068b354/rulings"
