"sample_id","stratum","stratum_rank","selection_hash","oracle_id","name","mana_cost","type_line","oracle_text","keywords","classification","implementation_family","recommended_tier","primary_gap","secondary_gaps","rationale","scryfall_uri"
"12","FDN","12","27de23bdd356887393d3c8da833dc6fd0327bbbdf6f13b0685790ebda535e3b8","898da62e-d29a-4ddc-be69-2ddec54614f5","Cackling Prowler","{3}{G}","Creature — Hyena Rogue","Ward {2} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.)
Morbid — At the beginning of your end step, if a creature died this turn, put a +1/+1 counter on this creature.","Ward; Morbid","partial_now","","system","ward","","The morbid end-step counter trigger is supported, but Ward has no tax-and-counter trigger path.","https://scryfall.com/card/fdn/101/cackling-prowler?utm_source=api"
"13","FDN","13","2a2cfcaeeb1e8204815c04016c6b9657d81cce9ea8c3e368ca46d83f6fc44c64","3c1619bd-db5e-4df6-a196-0a9d62374f6d","Hare Apparent","{1}{W}","Creature — Rabbit Noble","When this creature enters, create a number of 1/1 white Rabbit creature tokens equal to the number of other creatures you control named Hare Apparent.
A deck can have any number of cards named Hare Apparent.","","full_now","token_makers","data","","","All functional Oracle clauses compose from the current token makers vocabulary.","https://scryfall.com/card/fdn/15/hare-apparent?utm_source=api"
"14","FDN","14","2d7c43d2d3806b9255cad1dc2af5c203dae731bb89b2f4a8b5b1527aa60240ed","fa85c5a2-8e83-4624-a35a-a0bbf17ecbb4","Think Twice","{1}{U}","Instant","Draw a card.
Flashback {2}{U} (You may cast this card from your graveyard for its flashback cost. Then exile it.)","Flashback","full_now","graveyard_casting","data","","","All functional Oracle clauses compose from the current graveyard casting vocabulary.","https://scryfall.com/card/fdn/165/think-twice?utm_source=api"
"15","FDN","15","2eb7953a567184ee1a30e837ff1a030cf782e1c2ef48f377578378fa13ed9c3d","f6abdf34-cfdc-465c-b067-cdebb659406e","Elfsworn Giant","{3}{G}{G}","Creature — Giant","Reach (This creature can block creatures with flying.)
Landfall — Whenever a land you control enters, create a 1/1 green Elf Warrior creature token.","Reach; Landfall","full_now","simple_triggered_creatures","data","","","All functional Oracle clauses compose from the current simple triggered creatures vocabulary.","https://scryfall.com/card/fdn/103/elfsworn-giant?utm_source=api"
"16","FDN","16","32d79307b1b6b389d52fbd115228729d27684684eee849414b0addf2124bf13f","1b9ec782-0ba1-41f1-bc39-d3302494ecb3","Bake into a Pie","{2}{B}{B}","Instant","Destroy target creature. Create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")","Food","full_now","targeted_removal","data","","","All functional Oracle clauses compose from the current targeted removal vocabulary.","https://scryfall.com/card/fdn/169/bake-into-a-pie?utm_source=api"
"17","FDN","17","380c6597702d5c33cb2d3f5d5c2bd2a8cbaf5d63046ee6a2b919fd2100538538","c0864adb-e9aa-40b6-91ff-a0646193e887","Helpful Hunter","{1}{W}","Creature — Cat","When this creature enters, draw a card.","","full_now","simple_triggered_creatures","data","","","All functional Oracle clauses compose from the current simple triggered creatures vocabulary.","https://scryfall.com/card/fdn/16/helpful-hunter?utm_source=api"
"18","FDN","18","3a83daeac1b2e9f56883238b0fc01c8fc6e607cd6ae1c48bc48b71df5002dacf","8226f31d-6f51-49c3-87f7-0c68f7f4f9ce","Make Your Move","{2}{W}","Instant","Destroy target artifact, enchantment, or creature with power 4 or greater.","","blocked","","primitive","disjunctive_target_filter","","The target is an artifact, an enchantment, or only a creature satisfying a power predicate; current target fields are purely conjunctive.","https://scryfall.com/card/fdn/143/make-your-move?utm_source=api"
"19","FDN","19","3d2e1b3d5fb1ff29c1b315639a036d55861e8d5d0a2959bd797e89b928d0ed1d","c1624d10-8838-4af8-aea1-a96c0fe6fd6b","Goldvein Pick","{2}","Artifact — Equipment","Equipped creature gets +1/+1.
Whenever equipped creature deals combat damage to a player, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")
Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)","Treasure; Equip","partial_now","","primitive","attached_combat_damage_trigger","","Equip and the attached +1/+1 modifier work, but no trigger observes combat damage dealt by the attached creature.","https://scryfall.com/card/fdn/253/goldvein-pick?utm_source=api"
"20","FDN","20","44ae8b25cd4344ac402786393e4dcee433ed66e666c40dc5849751f3c886989f","2ec1860b-89cc-4529-8b8c-fb47f79f2b4b","Sower of Chaos","{3}{R}","Creature — Devil","{2}{R}: Target creature can't block this turn.","","full_now","activated_creatures","data","","","All functional Oracle clauses compose from the current activated creatures vocabulary.","https://scryfall.com/card/fdn/95/sower-of-chaos?utm_source=api"
"21","FDN","21","45ee5c7296e6218dc7f2e4996fbd0fb2d1cfe696660ca71fa972a098d5919475","5e316864-d55c-496f-8f46-773567896864","Broken Wings","{2}{G}","Instant","Destroy target artifact, enchantment, or creature with flying.","","partial_now","","primitive","disjunctive_target_filter","","Flying-creature destruction is representable, but artifact and enchantment alternatives cannot be ORed around that keyword predicate.","https://scryfall.com/card/fdn/214/broken-wings?utm_source=api"
"22","FDN","22","4717fb41a7675e836cffc52187e15751a4adfaacadf6582102d8bd5cb17cc24c","db794af5-ba2e-4b10-b213-e481e8a50432","Beast-Kin Ranger","{2}{G}","Creature — Elf Ranger","Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
Whenever another creature you control enters, this creature gets +1/+0 until end of turn.","Trample","full_now","simple_triggered_creatures","data","","","All functional Oracle clauses compose from the current simple triggered creatures vocabulary.","https://scryfall.com/card/fdn/100/beast-kin-ranger?utm_source=api"
"23","FDN","23","4cb9bb81e409fa4a154ca1a9bd3baf4943e301d5078b35e4992be84bc1bb538f","013ca531-1ff7-4efc-a280-4bc3ab574072","Mocking Sprite","{2}{U}","Creature — Faerie Rogue","Flying
Instant and sorcery spells you cast cost {1} less to cast.","Flying","blocked","","system","static_spell_cost_reduction","","A battlefield source cannot continuously reduce the cost of instant and sorcery spells its controller casts.","https://scryfall.com/card/fdn/159/mocking-sprite?utm_source=api"
"24","FDN","24","5368c0398fa669c82ac684a050c7ad518bb89aaf6585bc0a7d9c78b7ba15bb7a","eb1dfa29-7371-4cb6-bfa2-16f7820b69be","Refute","{1}{U}{U}","Instant","Counter target spell. Draw a card, then discard a card.","","full_now","draw_and_discard","data","","","All functional Oracle clauses compose from the current draw and discard vocabulary.","https://scryfall.com/card/fdn/48/refute?utm_source=api"
"25","FDN","25","57b17d26cb1f5b71b81e14b4762675d4aa04cee01299fdeac18e64bd8946f6f7","3d4a7dd3-9258-4bd1-adc4-08f0205e196a","Dwynen's Elite","{1}{G}","Creature — Elf Warrior","When this creature enters, if you control another Elf, create a 1/1 green Elf Warrior creature token.","","full_now","simple_triggered_creatures","data","","","All functional Oracle clauses compose from the current simple triggered creatures vocabulary.","https://scryfall.com/card/fdn/218/dwynens-elite?utm_source=api"
"26","FDN","26","5fa87535847f9131b2678bffa3f9ee466b38229267b46c64b61ddb81e8e4f6c8","2f57a220-9f64-4143-979a-d6aaf63d49b2","Treetop Snarespinner","{3}{G}","Creature — Spider","Reach (This creature can block creatures with flying.)
Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
{2}{G}: Put a +1/+1 counter on target creature you control. Activate only as a sorcery.","Reach; Deathtouch","full_now","activated_creatures","data","","","All functional Oracle clauses compose from the current activated creatures vocabulary.","https://scryfall.com/card/fdn/114/treetop-snarespinner?utm_source=api"
"27","FDN","27","64780315b5339644c091388780144848ef3d9665471a691b95d545709d211292","623903de-3c04-4745-9af3-d7ec9fb2574d","Bite Down","{1}{G}","Instant","Target creature you control deals damage equal to its power to target creature or planeswalker you don't control.","","partial_now","","system","planeswalker_targets","","The two creature target roles and power-based damage work, but planeswalkers are not ruled battlefield targets.","https://scryfall.com/card/fdn/212/bite-down?utm_source=api"
"28","FDN","28","69861b8d9a8f68c475b4a1f1edaa0cec809c70fc929d89cc852e1a7ad8702c19","f81ca3a5-356d-4b5d-afc2-a33aa774816b","Soul-Shackled Zombie","{3}{B}","Creature — Zombie","When this creature enters, exile up to two target cards from a single graveyard. If at least one creature card was exiled this way, each opponent loses 2 life and you gain 2 life.","","blocked","","system","graveyard_card_exile","graveyard_result_condition","The engine lacks grouped graveyard exile targets and cannot branch on whether an exiled card had a requested type.","https://scryfall.com/card/fdn/70/soul-shackled-zombie?utm_source=api"
"29","FDN","29","6aa7f791160bae0c3bc655cc1359e450a3b5759d09bac0213b855f105910d702","b4ee6843-bb79-4665-9763-83f656863dc5","Stab","{B}","Instant","Target creature gets -2/-2 until end of turn.","","full_now","targeted_removal","data","","","All functional Oracle clauses compose from the current targeted removal vocabulary.","https://scryfall.com/card/fdn/71/stab?utm_source=api"
"30","FDN","30","6cb2eff8a88f3518acaabd55850e6e5ffee8dde7d8875682301c8b1410a0fcf6","604ef241-df8f-48f8-8680-f9ed77ff30ae","Quick-Draw Katana","{2}","Artifact — Equipment","During your turn, equipped creature gets +2/+0 and has first strike. (It deals combat damage before creatures without first strike.)
Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)","Equip","blocked","","primitive","conditional_attached_modifier","","Attached modifiers cannot apply only during the Equipment controller turn.","https://scryfall.com/card/fdn/130/quick-draw-katana?utm_source=api"
"31","FDN","31","7573d6b3137858734d38da2c8d8621ef8f477c7f41d3b735eb152cdeab6fc7eb","4c48de92-e053-4af7-b936-d7ec0875e0d3","Ambush Wolf","{2}{G}","Creature — Wolf","Flash (You may cast this spell any time you could cast an instant.)
When this creature enters, exile up to one target card from a graveyard.","Flash","blocked","","primitive","graveyard_card_exile","","There is no effect for exiling a targeted card from a graveyard.","https://scryfall.com/card/fdn/98/ambush-wolf?utm_source=api"
"32","FDN","32","7775fd9f8d8de1287236aa2adbb0dc6692740c4b5e3091fda6afb99a4aa836b5","d96141af-313f-4ea9-a249-d9eb22cd2431","Luminous Rebuke","{4}{W}","Instant","This spell costs {3} less to cast if it targets a tapped creature.
Destroy target creature.","","partial_now","","system","target_dependent_cost_reduction","","Destroying the creature works, but total spell cost cannot depend on the chosen target being tapped.","https://scryfall.com/card/fdn/20/luminous-rebuke?utm_source=api"
"33","FDN","33","79548fbfbb0b0578cafc379d00565a304a9438ada67f249b84b06db2cba40426","2bee2508-cd5d-4c62-a205-12d8bbb3143d","Felidar Savior","{3}{W}","Creature — Cat Beast","Lifelink (Damage dealt by this creature also causes you to gain that much life.)
When this creature enters, put a +1/+1 counter on each of up to two other target creatures you control.","Lifelink","full_now","simple_triggered_creatures","data","","","All functional Oracle clauses compose from the current simple triggered creatures vocabulary.","https://scryfall.com/card/fdn/12/felidar-savior?utm_source=api"
"34","FDN","34","798f8b99e4f94337a1dfaf28fc9f8d544fd4e4c47996fb8f32113d875a12d94f","68954295-54e3-4303-a6bc-fc4547a4e3a3","Llanowar Elves","{G}","Creature — Elf Druid","{T}: Add {G}.","","full_now","activated_creatures","data","","","All functional Oracle clauses compose from the current activated creatures vocabulary.","https://scryfall.com/card/fdn/227/llanowar-elves?utm_source=api"
"35","FDN","35","7a9eed272d74531bb9f3afce47be37f5d498e9b2d16093003e909012f9bd91a7","e5481431-c952-4ad9-94fe-355076ef632b","Gnarlid Colony","{1}{G}","Creature — Beast","Kicker {2}{G} (You may pay an additional {2}{G} as you cast this spell.)
If this creature was kicked, it enters with two +1/+1 counters on it.
Each creature you control with a +1/+1 counter on it has trample. (It can deal excess combat damage to the player or planeswalker it's attacking.)","Kicker","partial_now","","system","kicker_cast_option","","The counter-based trample anthem works, but kicker payment and its conditional entry counters are absent.","https://scryfall.com/card/fdn/224/gnarlid-colony?utm_source=api"
"36","FDN","36","7f36dedae860902b6b757237bb2d974f953600c4e15b434532dce103225e43d0","31265357-5ecb-4d83-80ff-1795b1dfdecb","Gutless Plunderer","{2}{B}","Creature — Skeleton Pirate","Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
Raid — When this creature enters, if you attacked this turn, look at the top three cards of your library. You may put one of those cards back on top of your library. Put the rest into your graveyard.","Raid; Deathtouch","blocked","","custom","attacked_this_turn_condition","library_partition_choice","Raid is not a committed turn fact, and the top-three keep-one/rest-to-graveyard procedure is not a shipped library choice.","https://scryfall.com/card/fdn/60/gutless-plunderer?utm_source=api"
"37","FDN","37","8214c8d69d08d948c3657dd38b6fb50c032adcb12273eadfb084d5da84fb068d","448cc829-1596-4aec-b180-c0c1e0566f6b","Wary Thespian","{1}{G}","Creature — Cat Druid","When this creature enters or dies, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)","Surveil","blocked","","system","surveil","","No private top-of-library choice can move selected cards to the graveyard while preserving the ordered remainder.","https://scryfall.com/card/fdn/235/wary-thespian?utm_source=api"
"38","FDN","38","82d63e2f244a20366a59c85630a4bd1e6c21603332cedf887c6d8af82626b618","7d4b6613-9000-4f53-9737-fe0338f3f629","Erudite Wizard","{2}{U}","Creature — Human Wizard","Whenever you draw your second card each turn, put a +1/+1 counter on this creature.","","blocked","","system","turn_indexed_draw_trigger","","The trigger system does not publish or count the second card drawn in a turn.","https://scryfall.com/card/fdn/37/erudite-wizard?utm_source=api"
"39","FDN","39","876a9938b4a35f3868075256945d6e6900c3b125fc81cdf1d5c5383eb8de6043","7e86fb1e-9987-43ba-b59e-0cb03bbdedb6","Involuntary Employment","{3}{R}","Sorcery","Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. Create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")","Treasure","full_now","control_and_tokens","data","","","All functional Oracle clauses compose from the current control and tokens vocabulary.","https://scryfall.com/card/fdn/203/involuntary-employment?utm_source=api"
"40","FDN","40","8771f19cbef95ef8904e05f94ba86f0822c551705c795367a85d0b9d957b79bb","6336401f-4e2d-4ebe-8c5b-24aa6f516abf","Fleeting Flight","{W}","Instant","Put a +1/+1 counter on target creature. It gains flying until end of turn. Prevent all combat damage that would be dealt to it this turn.","","partial_now","","primitive","targeted_combat_damage_prevention","","The counter and flying grant work, but prevention cannot be scoped to combat damage dealt to one chosen creature.","https://scryfall.com/card/fdn/13/fleeting-flight?utm_source=api"
"41","FDN","41","8ccfbd111aa4c305de3b906cc95a351ce1e17c05e3a8db2a32b5a9e14d454f18","d398dca3-f3a5-44c9-998f-b4fce9e5c2bf","Infestation Sage","{B}","Creature — Elf Warlock","When this creature dies, create a 1/1 black and green Insect creature token with flying.","","full_now","simple_triggered_creatures","data","","","All functional Oracle clauses compose from the current simple triggered creatures vocabulary.","https://scryfall.com/card/fdn/64/infestation-sage?utm_source=api"
"42","FDN","42","925a353807ca24f91cc2ba1b8acfc3227b7e24fc603997fcb48c2f7d22fe3adc","bbea8ade-a641-4132-b306-f39fe2f14311","Vampire Soulcaller","{4}{B}","Creature — Vampire Warlock","Flying
This creature can't block.
When this creature enters, return target creature card from your graveyard to your hand.","Flying","partial_now","","primitive","self_block_restriction","","Flying and the graveyard return trigger work, but a permanent cannot continuously prohibit only itself from blocking.","https://scryfall.com/card/fdn/75/vampire-soulcaller?utm_source=api"
"43","FDN","43","994e0f78d90a0d1753c92a94a2acf4906fb646f5be155f004d223adbacffdfc2","cf75dbd8-b65a-48d9-b96b-4afb43f336d1","Macabre Waltz","{1}{B}","Sorcery","Return up to two target creature cards from your graveyard to your hand, then discard a card.","","full_now","draw_and_discard","data","","","All functional Oracle clauses compose from the current draw and discard vocabulary.","https://scryfall.com/card/fdn/177/macabre-waltz?utm_source=api"
"44","FDN","44","9a6dffbb155a65fbc3e7cc2fa11ec4ed52bca2231b0885fa884e72864a375d01","4e473298-0b67-42b8-90a8-3bcdd73da473","Bigfin Bouncer","{3}{U}","Creature — Shark Pirate","When this creature enters, return target creature an opponent controls to its owner's hand.","","full_now","simple_triggered_creatures","data","","","All functional Oracle clauses compose from the current simple triggered creatures vocabulary.","https://scryfall.com/card/fdn/31/bigfin-bouncer?utm_source=api"
"45","FDN","45","9cc54521ae38df8b74a157409eaa6ecdbabf157c0545137d088f2efad5706f8c","16ab9451-f3da-4f61-8e2b-d9c84e0e5428","Crackling Cyclops","{2}{R}","Creature — Cyclops Wizard","Whenever you cast a noncreature spell, this creature gets +3/+0 until end of turn.","","full_now","simple_triggered_creatures","data","","","All functional Oracle clauses compose from the current simple triggered creatures vocabulary.","https://scryfall.com/card/fdn/83/crackling-cyclops?utm_source=api"
"46","FDN","46","9de1e721ea83760f088f78512d38c9f93dd971f9816ddcd6bab34f3fa4d8c191","ad01df89-29fe-44c7-a133-91425f8ff09c","Fake Your Own Death","{1}{B}","Instant","Until end of turn, target creature gets +2/+0 and gains ""When this creature dies, return it to the battlefield tapped under its owner's control and you create a Treasure token."" (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")","Treasure","full_now","temporary_abilities","data","","","All functional Oracle clauses compose from the current temporary abilities vocabulary.","https://scryfall.com/card/fdn/174/fake-your-own-death?utm_source=api"
"47","FDN","47","9f1e7f5fcbea4ff5d28f56b2a000c315c5a052dfdae954772c08e15be787d8c7","5b8e0913-47e9-4d56-971d-abd91b0f7587","Campus Guide","{2}","Artifact Creature — Golem","When this creature enters, you may search your library for a basic land card, reveal it, then shuffle and put that card on top.","","full_now","library_search","data","","","All functional Oracle clauses compose from the current library search vocabulary.","https://scryfall.com/card/fdn/251/campus-guide?utm_source=api"
"48","FDN","48","a5b2559e3a119981f74780f32b9e81f2801faf6632a9eb368d050958a2b4ed03","c61374e5-a7f6-455e-a40b-a481751b536b","Bushwhack","{G}","Sorcery","Choose one —
• Search your library for a basic land card, reveal it, put it into your hand, then shuffle.
• Target creature you control fights target creature you don't control. (Each deals damage equal to its power to the other.)","Fight","partial_now","","primitive","fight","","The basic-land search mode works, but fight requires simultaneous reciprocal power-based damage.","https://scryfall.com/card/fdn/215/bushwhack?utm_source=api"
"49","FDN","49","a8afa320b65f672688ebbda4f38625e1a168201bfe4b2737bb2892566976da10","fb694e7e-f66e-4958-b6ed-aa74bc9ac43e","Sure Strike","{1}{R}","Instant","Target creature gets +3/+0 and gains first strike until end of turn. (It deals combat damage before creatures without first strike.)","","full_now","temporary_abilities","data","","","All functional Oracle clauses compose from the current temporary abilities vocabulary.","https://scryfall.com/card/fdn/209/sure-strike?utm_source=api"
"50","FDN","50","a9a1d646353f03389adb888786033a600675e61de097fd7b07e58be9914c7ebf","cf402270-ebc6-481b-b478-0e3acab7002a","Elementalist Adept","{1}{U}","Creature — Human Wizard","Flash (You may cast this spell any time you could cast an instant.)
Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)","Prowess; Flash","full_now","simple_triggered_creatures","data","","","All functional Oracle clauses compose from the current simple triggered creatures vocabulary.","https://scryfall.com/card/fdn/36/elementalist-adept?utm_source=api"
"51","FDN","51","a9e4312829bad64f326502cfee6b9b6c239a9172af3c11fd2e0d36e2b648bcbb","814b87fe-2a75-4ff2-8637-7e69e3fb285b","Marauding Blight-Priest","{2}{B}","Creature — Vampire Cleric","Whenever you gain life, each opponent loses 1 life.","","full_now","simple_triggered_creatures","data","","","All functional Oracle clauses compose from the current simple triggered creatures vocabulary.","https://scryfall.com/card/fdn/178/marauding-blight-priest?utm_source=api"
"52","FDN","52","aa3c9b0d1d2b91acc2e974702cc378dd6a86146cf645b8f1ddad5b59a4ee106e","a5f5e71e-83a7-468d-829a-6392b764c76e","Witness Protection","{U}","Enchantment — Aura","Enchant creature
Enchanted creature loses all abilities and is a green and white Citizen creature with base power and toughness 1/1 named Legitimate Businessperson. (It loses all other colors, card types, creature types, and names.)","Enchant","blocked","","system","characteristic_setting_and_ability_loss","","The layer system cannot remove all abilities or set name, colors, types, and base power and toughness.","https://scryfall.com/card/fdn/168/witness-protection?utm_source=api"
"53","FDN","53","acceb816e060d8fbbcd57ece69205499d56ce9300e18e93282b658903f11ed60","1d6796ce-9316-430a-8126-8b0414cf181c","Uncharted Voyage","{3}{U}","Instant","Target creature's owner puts it on their choice of the top or bottom of their library.
Surveil 1. (Look at the top card of your library. You may put it into your graveyard.)","Surveil","blocked","","system","owner_library_placement_choice","surveil","The permanent owner cannot choose top versus bottom during resolution, and surveil is also absent.","https://scryfall.com/card/fdn/53/uncharted-voyage?utm_source=api"
"54","FDN","54","ae880b75132087c0be552c5734d34fb4fe88cbf2d1530a88ea6aaef00e44c162","f28b21a6-f7ce-437a-8c5b-0423cb55cefb","Banishing Light","{2}{W}","Enchantment","When this enchantment enters, exile target nonland permanent an opponent controls until this enchantment leaves the battlefield.","","blocked","","system","linked_exile","","Exiling a permanent until the source leaves requires a generation-aware linked return relation.","https://scryfall.com/card/fdn/138/banishing-light?utm_source=api"
"55","FDN","55","b01c2da82fffa11b185b7a6d95c36659785285cac0d5a9c2b1f9bdc5b8f746f1","64e29bfc-9313-4e8c-808c-bc27f6b018a6","Bloodfell Caves","","Land","This land enters tapped.
When this land enters, you gain 1 life.
{T}: Add {B} or {R}.","","full_now","mana_permanents","data","","","All functional Oracle clauses compose from the current mana permanents vocabulary.","https://scryfall.com/card/fdn/259/bloodfell-caves?utm_source=api"
"56","FDN","56","b4f22179807875b4bfc77c5dd1d1af9257833b684b9c6865bcc4714f412893d4","b36271cb-cda2-434a-a580-6050dc460409","Fleeting Distraction","{U}","Instant","Target creature gets -1/-0 until end of turn.
Draw a card.","","full_now","combat_tricks","data","","","All functional Oracle clauses compose from the current combat tricks vocabulary.","https://scryfall.com/card/fdn/155/fleeting-distraction?utm_source=api"
"57","FDN","57","bace329dd9fd17dfcb722ac60b29981561e4f41531f817978eddd062c10a7900","7de464e3-fae3-44cc-8233-776fc727c00a","Dazzling Angel","{2}{W}","Creature — Angel","Flying
Whenever another creature you control enters, you gain 1 life.","Flying","full_now","simple_triggered_creatures","data","","","All functional Oracle clauses compose from the current simple triggered creatures vocabulary.","https://scryfall.com/card/fdn/9/dazzling-angel?utm_source=api"
"58","FDN","58","c69fd2c3d966bba2df32aae0b01b0be6ffa301f94ac20f3f09e1a26a292065f1","d36e11f1-6ab3-4273-8114-a8fbbe21c1c3","Fanatical Firebrand","{R}","Creature — Goblin Pirate","Haste (This creature can attack and {T} as soon as it comes under your control.)
{T}, Sacrifice this creature: It deals 1 damage to any target.","Haste","partial_now","","system","planeswalker_targets","","The tap-sacrifice damage ability works for creatures and players, but not planeswalkers.","https://scryfall.com/card/fdn/195/fanatical-firebrand?utm_source=api"
